Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Myanmar,994658.83,4054.85,19.356,25.463,245.3
Canada,1477138.7,2799.0,28.745,17.577,527.74
U S A,305740.38,1088.07,5.95,6.833,280.99
Australia,499815.95,1073.21,9.726,6.739,465.72
China P Rp,220433.32,964.94,4.29,6.059,228.44
Brazil,338737.72,879.09,6.592,5.52,385.33
Malawi,105679.92,477.59,2.057,2.999,221.28
Tanzania Rep,88810.42,334.04,1.728,2.098,265.87
Afghanistan Tis,25755.4,306.18,0.501,1.923,84.12
U K,21180.21,300.36,0.412,1.886,70.52
Thailand,65403.54,270.9,1.273,1.701,241.43
Pakistan Ir,121203.89,260.32,2.359,1.635,465.6
Indonesia,52107.21,244.87,1.014,1.538,212.8
New Zealand,27154.71,238.98,0.528,1.501,113.63
Ukraine,149791.46,214.76,2.915,1.349,697.48
Iraq,158088.55,203.49,3.076,1.278,776.89
Nepal,68024.7,183.2,1.324,1.15,371.31
Russia,95947.72,145.53,1.867,0.914,659.3
Netherland,12595.1,142.87,0.245,0.897,88.16
France,30488.34,141.48,0.593,0.888,215.5
Mozambique,32293.64,137.87,0.628,0.866,234.23
Italy,8329.89,90.58,0.162,0.569,91.96
Singapore,6711.91,86.5,0.131,0.543,77.59
Argentina,25029.33,79.18,0.487,0.497,316.11
U Arab Emts,15433.42,79.03,0.3,0.496,195.29
Germany,8663.52,77.32,0.169,0.486,112.05
Malaysia,9540.49,73.61,0.186,0.462,129.61
Chile,9929.08,73.14,0.193,0.459,135.75
Sri Lanka Dsr,6185.41,70.26,0.12,0.441,88.04
Bangladesh Pr,23690.69,55.94,0.461,0.351,423.5
Egypt A Rp,11254.01,46.41,0.219,0.291,242.49
Uzbekistan,7880.55,43.92,0.153,0.276,179.43
Denmark,3204.87,43.76,0.062,0.275,73.24
Austria,7081.74,42.49,0.138,0.267,166.67
Ghana,2718.84,39.16,0.053,0.246,69.43
Iran,14448.0,32.92,0.281,0.207,438.88
Ireland,3026.11,32.16,0.059,0.202,94.1
South Africa,6516.78,28.62,0.127,0.18,227.7
Kenya,5055.7,28.02,0.098,0.176,180.43
Unspecified,6410.31,26.93,0.125,0.169,238.04
Mexico,5176.81,26.62,0.101,0.167,194.47
Switzerland,1465.35,26.57,0.029,0.167,55.15
Ethiopia,8716.75,25.14,0.17,0.158,346.73
Dominic Rep,1405.65,23.2,0.027,0.146,60.59
Spain,2451.42,22.99,0.048,0.144,106.63
Korea Rp,1400.78,22.37,0.027,0.14,62.62
Taiwan,102.29,21.13,0.002,0.133,4.84
Poland,1405.69,20.31,0.027,0.128,69.21
Japan,638.74,18.47,0.012,0.116,34.58
Belgium,2680.4,17.09,0.052,0.107,156.84
Vietnam Soc Rep,9371.74,16.49,0.182,0.104,568.33
Uganda,1306.08,14.94,0.025,0.094,87.42
Israel,2332.11,14.79,0.045,0.093,157.68
Philippines,2581.86,13.75,0.05,0.086,187.77
Turkey,1671.57,13.14,0.033,0.083,127.21
Ecuador,808.86,13.05,0.016,0.082,61.98
Saudi Arab,3589.36,12.75,0.07,0.08,281.52
Oman,4288.9,12.66,0.083,0.08,338.78
Madagascar,3272.15,10.71,0.064,0.067,305.52
Bhutan,4901.44,10.44,0.095,0.066,469.49
Togo,675.0,10.12,0.013,0.064,66.7
Cote D Ivoire,413.27,5.89,0.008,0.037,70.16
Peru,1062.81,5.72,0.021,0.036,185.81
Sweden,172.71,5.41,0.003,0.034,31.92
Belarus,502.01,4.34,0.01,0.027,115.67
Uruguay,685.49,4.04,0.013,0.025,169.68
Portugal,184.98,2.46,0.004,0.015,75.2
Lebanon,107.5,1.81,0.002,0.011,59.39
Lithuania,698.3,1.4,0.014,0.009,498.79
Hong Kong,44.37,1.29,0.001,0.008,34.4
Slovenia,57.25,1.18,0.001,0.007,48.52
Hungary,565.35,1.12,0.011,0.007,504.78
Bahamas,52.5,1.09,0.001,0.007,48.17
Kuwait,144.38,0.98,0.003,0.006,147.33
Cuba,88.63,0.87,0.002,0.005,101.87
Baharain Is,57.45,0.87,0.001,0.005,66.03
Tajikistan,218.0,0.86,0.004,0.005,253.49
Greece,88.52,0.77,0.002,0.005,114.96
Tunisia,307.06,0.76,0.006,0.005,404.03
Romania,245.46,0.72,0.005,0.005,340.92
Costa Rica,91.08,0.67,0.002,0.004,135.94
Finland,52.91,0.62,0.001,0.004,85.34
Colombia,94.03,0.54,0.002,0.003,174.13
Norway,53.53,0.49,0.001,0.003,109.24
Algeria,195.74,0.45,0.004,0.003,434.98
Estonia,8.85,0.39,0.0,0.002,22.69
Guatemala,0.02,0.21,0.0,0.001,0.1
Djibouti,40.0,0.11,0.001,0.001,363.64
Netherlandantil,3.7,0.11,0.0,0.001,33.64
Jordan,25.0,0.1,0.0,0.001,250.0
Slovak Rep,12.75,0.1,0.0,0.001,127.5
Puerto Rico,3.0,0.09,0.0,0.001,33.33
Belize,22.23,0.09,0.0,0.001,247.0
Mauritius,0.52,0.08,0.0,0.001,6.5
Korea Dp Rp,20.32,0.08,0.0,0.001,254.0
Czech Republic,16.82,0.07,0.0,0.0,240.29
Syria,12.92,0.06,0.0,0.0,215.33
Grenada,6.12,0.05,0.0,0.0,122.4
Qatar,15.0,0.04,0.0,0.0,375.0
Georgia,3.62,0.04,0.0,0.0,90.5
Eswatini,1.3,0.04,0.0,0.0,32.5
Antigua,4.0,0.04,0.0,0.0,100.0
Maldives,0.52,0.03,0.0,0.0,17.33
Bosnia-Hrzgovin,1.38,0.03,0.0,0.0,46.0
Mali,1.29,0.01,0.0,0.0,129.0
Liberia,2.0,0.01,0.0,0.0,200.0
Nigeria,0.49,0.01,0.0,0.0,49.0
Sudan,0.1,0.01,0.0,0.0,10.0
Panama Republic,0.57,0.01,0.0,0.0,57.0
Luxembourg,0.22,0.0,0.0,0.0,inf
Armenia,0.3,0.0,0.0,0.0,inf
Haiti,0.59,0.0,0.0,0.0,inf
Zambia,0.06,0.0,0.0,0.0,inf
St Vincent,0.04,0.0,0.0,0.0,inf
Total,5138790.37,15924.44,100.0,100.0,322.7
